,names
0,Bill
1,Bombur
2,Meriadoc
3,Arwen
4,Sam
5,Skinbark
6,Beorn
7,Bofur
8,Elrohir
9,Legolas
10,William
11,Paladin
12,Elrond
13,Denethor
14,Hamfast
15,Golfimbul
16,Muzgash
17,Lotho
18,Aragorn
19,Folco
20,Gandalf
22,Smaug
23,Harding
24,Radbug
25,Gollum
26,Odo
28,Dori
30,Nain
31,Éowyn
32,Kings
33,Gwaihir
34,Thorin
35,Ernil
36,Nimrodel
37,Melilot
38,Entings
39,Saruman
40,Gothmog
41,Boromir
42,Narvi
43,Treebeard
44,Bifur
45,Tom
46,Isengrim
47,Balin
48,Durin
49,Lúthien
50,Dior
51,Snaga
52,Éomer
54,Gaffer
55,Lindir
56,Húrin
57,Faramir
58,Nori
59,Holbytla
60,Drogo
61,Bilbo
62,Frodo
63,Dain
64,Fimbrethil
65,Lugdush
66,Bert
67,Bowman
69,Everard
70,Merry
71,Lobelia
72,Holman
73,Théoden
74,Varda
75,Adelard
76,Bandobras
77,Lagduf
78,Entmoot
79,Fredegar
80,Dora
82,Radagast
83,Mablung
84,Beren
85,Gimli
86,Landroval
87,Gorbadoc
88,Otho
90,Farmer
91,Gloin
92,Kili
93,Galadriel
94,Eärendil
95,Undómiel
96,Erestor
97,Gorhendad
98,Bungo
99,Fili
100,Thingol
101,Belladonna
102,Ufthak
103,Sauron
104,Pippin
