,phrases,label,emotion,book,person_1,person_2
0,"They moved to a clump of  trees, and though it was drier under them, the wind shook the rain off the leaves, and the drip, drip,  was most annoying. Also the mischief seemed to have got into the fire. Dwarves can make a fire  almost anywhere out of almost anything, wind or no wind; but they could not do it that night, not even  Oin and Gloin, who were specially good at it. Then one of the ponies took fright at nothing and bolted. He got into the river before they could  catch him; and before they could get him out again, Fili and Kili were nearly drowned, and all the  baggage that he carried was washed away off him.",NEGATIVE,anger,hobbit,Gloin,Fili
1,"He got into the river before they could  catch him; and before they could get him out again, Fili and Kili were nearly drowned, and all the  baggage that he carried was washed away off him. Of course it was mostly food, and there was mighty  little left for supper, and less for breakfast. There they all sat glum and wet and muttering, while Oin and Gloin went on trying to light the fire,  and quarrelling about it. Bilbo was sadly reflecting that adventures are not all pony-rides in May-  sunshine, when Balin, who was always their look-out man, said: “There’s a light over there!” There  was a hill some way off with trees on it, pretty thick in parts. Out of the dark mass of the trees they  could now see a light shining, a reddish comfortable-looking light, as it might be a fire or torches  twinkling.",NEGATIVE,anger,hobbit,Gloin,Fili
2,"As each dwarf came up and looked at the fire, and the spilled  jugs, and the gnawed mutton, in surprise, pop! went a nasty smelly sack over his head, and he was  down. Soon Dwalin lay by Balin, and Fili and Kili together, and Dori and Nori and Ori all in a heap,  and Oin and Gloin and Bifur and Bofur and Bombur piled uncomfortably near the fire. “That’ll teach ’em,” said Tom; for Bifur and Bombur had given a lot of trouble, and fought like  mad, as dwarves will when cornered. Thorin came last — and he was not caught unawares.",NEGATIVE,anger,hobbit,Gloin,Fili
3,"You  would have laughed (from a safe distance), if you had seen the dwarves sitting up in the trees with  their beards dangling down, like old gentlemen gone cracked and playing at being boys. Fili and Kili  were at the top of a tall larch like an enormous Christmas tree. Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs.",NEGATIVE,fear,hobbit,Gloin,Fili
4,"It is lying on the  boat; let’s hope the hook will catch.”   It did. The rope went taut, and Fili pulled in vain. Kili came to his help, and then Oin and Gloin. They tugged and tugged, and suddenly they all fell over on their backs. Bilbo was on the look out,     however, caught the rope, and with a piece of stick fended off the little black boat as it came rushing  across the stream.",NEGATIVE,sadness,hobbit,Gloin,Fili
5,"“I shall,” said Thorin, “and you will come with me, and Fili and Balin. That’s as many as the boat  will hold at a time. After that Kili and Oin and Gloin and Dori; next Ori and Nori, Bifur and Bofur;  and last Dwalin and Bombur.”   “I’m always last and I don’t like it,” said Bombur. “It’s somebody else’s turn today.”   “You should not be so fat. As you are, you must be with the last and lightest boatload.",POSITIVE,joy,hobbit,Gloin,Fili
6,"To smell apples  everlastingly when you can scarcely move and are cold and sick with hunger is maddening. I could eat  anything in the wide world now, for hours on end — but not an apple!”   With the willing help of Fili and Kili, Thorin and Bilbo at last discovered the remainder of the  company and got them out. Poor fat Bombur was asleep or senseless; Dori, Nori, Ori, Oin and Gloin  were waterlogged and seemed only half alive; they all had to be carried one by one and laid helpless  on the shore. “Well! Here we are!” said Thorin.",NEGATIVE,sadness,hobbit,Gloin,Fili
7,Balin! Oin! Gloin! Fili! Kili!” he cried as loud as he could — it seemed a thin little noise  in the wide blackness.,NEGATIVE,anger,hobbit,Gloin,Fili
8,"Fili and Kili had fallen defending him with shield  and body, for he was their mother’s elder brother. The others remained with Dain; for Dain dealt his  treasure well. There was, of course, no longer any question of dividing the hoard in such shares as had been  planned, to Balin and Dwalin, and Dori and Nori and Ori, and Oin and Gloin, and Bifur and Bofur and  Bombur — or to Bilbo. Yet a fourteenth share of all the silver and gold, wrought and unwrought, was  given up to Bard; for Dain said: “We will honour the agreement of the dead, and he has now the  Arkenstone in his keeping.”   Even a fourteenth share was wealth exceedingly great, greater than that of many mortal kings. From that treasure Bard sent much gold to the Master of Lake-town; and he rewarded his followers  and friends freely.",POSITIVE,joy,hobbit,Gloin,Fili
9,"“That will be quite as much as I can manage,” said he. At last the time came for him to say good-bye to his friends. “Farewell, Balin!” he said; “and  farewell, Dwalin; and farewell Dori, Nori, Ori, Oin, Gloin, Bifur, Bofur, and Bombur! May your  beards never grow thin!” And turning towards the Mountain he added: “Farewell Thorin Oakenshield! And Fili and Kili!",POSITIVE,joy,hobbit,Gloin,Fili
10,"“Now for some music!” said Thorin. “Bring out the instruments!”   Kili and Fili rushed for their bags and brought back little fiddles; Dori, Nori, and Ori brought out  flutes from somewhere inside their coats; Bombur produced a drum from the hall; Bifur and Bofur  went out too, and came back with clarinets that they had left among the walking-sticks. Dwalin and  Balin said: “Excuse me, I left mine in the porch!” “Just bring mine in with you!” said Thorin. They  came back with viols as big as themselves, and with Thorin’ s harp wrapped in a green cloth. It was a  beautiful golden harp, and when Thorin struck it the music began all at once, so sudden and sweet that  Bilbo forgot everything else, and was swept away into dark lands under strange moons, far over The  Water and very far from his hobbit-hole under The Hill.",POSITIVE,fear,hobbit,Balin,Bifur
11,"As each dwarf came up and looked at the fire, and the spilled  jugs, and the gnawed mutton, in surprise, pop! went a nasty smelly sack over his head, and he was  down. Soon Dwalin lay by Balin, and Fili and Kili together, and Dori and Nori and Ori all in a heap,  and Oin and Gloin and Bifur and Bofur and Bombur piled uncomfortably near the fire. “That’ll teach ’em,” said Tom; for Bifur and Bombur had given a lot of trouble, and fought like  mad, as dwarves will when cornered. Thorin came last — and he was not caught unawares.",NEGATIVE,anger,hobbit,Balin,Bifur
12,"Dori, Nori, Ori, Oin, and Gloin were  more comfortable in a huge pine with regular branches sticking out at intervals like the spokes of a  wheel. Bifur, Bofur, Bombur, and Thorin were in another. Dwalin and Balin had swarmed up a tall  slender fir with few branches and were trying to find a place to sit in the greenery of the topmost  boughs. Gandalf, who was a good deal taller than the others, had found a tree into which they could  not climb, a large pine standing at the very edge of the glade. He was quite hidden in its boughs, but  you could see his eyes gleaming in the moon as he peeped out.",POSITIVE,fear,hobbit,Balin,Bifur
13,"“It was tied after all,” said he, looking at the snapped painter that was still dangling from it. “That  was a good pull, my lads; and a good job that our rope was the stronger.”   “Who’ll cross first?” asked Bilbo. “I shall,” said Thorin, “and you will come with me, and Fili and Balin. That’s as many as the boat  will hold at a time. After that Kili and Oin and Gloin and Dori; next Ori and Nori, Bifur and Bofur;  and last Dwalin and Bombur.”   “I’m always last and I don’t like it,” said Bombur.",POSITIVE,joy,hobbit,Balin,Bifur
14,"The fires leaped up in black smokes. Ashes and cinders were in the eyes of the dwarves, and the wood was filled again with their clamour  and their cries. Bilbo found himself running round and round (as he thought) and calling and calling: “Dori, Nori,  Ori, Oin, Gloin, Lili, Kili, Bombur, Bifur, Bofur, Dwalin, Balin, Thorin Oakenshield,” while people he  could not see or feel were doing the same all round him (with an occasional “Bilbo!” thrown in). But  the cries of the others got steadily further and fainter, and though after a while it seemed to him they  changed to yells and cries for help in the far distance, all noise at last died right away, and he was left     alone in complete silence and darkness. That was one of his most miserable moments.",NEGATIVE,sadness,hobbit,Balin,Bifur
15,"Knocking outside and calling only discovered about six  dwarves that could answer. These were unpacked and helped ashore where they sat or lay muttering  and moaning; they were so soaked and bruised and cramped that they could hardly yet realize their  release or be properly thankful for it. Dwalin and Balin were two of the most unhappy, and it was no good asking them to help. Bifur and  Bofur were less knocked about and drier, but they lay down and would do nothing. Fili and Kili,  however, who were young (for dwarves) and had also been packed more neatly with plenty of straw  into smaller casks, came out more or less smiling, with only a bruise or two and a stiffness that soon  wore off.",NEGATIVE,sadness,hobbit,Balin,Bifur
16,"Fili and Kili had fallen defending him with shield  and body, for he was their mother’s elder brother. The others remained with Dain; for Dain dealt his  treasure well. There was, of course, no longer any question of dividing the hoard in such shares as had been  planned, to Balin and Dwalin, and Dori and Nori and Ori, and Oin and Gloin, and Bifur and Bofur and  Bombur — or to Bilbo. Yet a fourteenth share of all the silver and gold, wrought and unwrought, was  given up to Bard; for Dain said: “We will honour the agreement of the dead, and he has now the  Arkenstone in his keeping.”   Even a fourteenth share was wealth exceedingly great, greater than that of many mortal kings. From that treasure Bard sent much gold to the Master of Lake-town; and he rewarded his followers  and friends freely.",POSITIVE,joy,hobbit,Balin,Bifur
17,"“That will be quite as much as I can manage,” said he. At last the time came for him to say good-bye to his friends. “Farewell, Balin!” he said; “and  farewell, Dwalin; and farewell Dori, Nori, Ori, Oin, Gloin, Bifur, Bofur, and Bombur! May your  beards never grow thin!” And turning towards the Mountain he added: “Farewell Thorin Oakenshield! And Fili and Kili!",POSITIVE,joy,hobbit,Balin,Bifur
