phrases,book,person_1,person_2
"'Queen Calanthe, the Lionness of Cintra, had a daughter called Pavetta. She died, together with her  husband, in a tempest which struck out at sea, and the depths swallowed them both.'  'So you see for yourselves I'm not making this up!' The ironware gnome called everyone to be his  witnesses. 'The Princess of Cintra was called Pavetta, not Ciri.'  'Ciri, known as Ciri, was the daughter of this drowned Pavetta,' explained the red-haired man. 'Calanthe's granddaughter. She was not the princess herself, but the daughter of the Princess of Cintra.",Blood of Elves,Ciri,Calanthe
"But the Geralt  could neither find her nor collect her. And here our poet has missed the truth.'  'Oh yes, he's missed the truth indeed,' butted in a sinewy young man who, judging by his clothes, was a  journeyman on his travels prior to crafting his masterpiece and passing his master's exams. 'The Geralt's  destiny bypassed him: Ciri was killed during the siege of Cintra. Before throwing herself from the  tower, Queen Calanthe killed the princess's daughter with her own hand, to prevent her from falling into  the Nilfgaardians' claws alive.'  'It wasn't like that. Not like that at all!' objected the red-haired man.",Blood of Elves,Ciri,Calanthe
"If I am not mistaken, the true  destinies of real people inspired the beautiful work I heard beneath the oak tree? I have in mind ... Little  Ciri of Cintra. Queen Calanthe's granddaughter.'  Dandelion gazed at the ceiling, drumming his fingers on the table. 'Honoured sir,' he said dryly, 'you are interested in strange matters.",Blood of Elves,Ciri,Calanthe
"So I advise you to weigh each word with  care, you piece of scum. So, let's get on with it and stop wasting time. As you know, I'm interested in the  heroine of one of your beautiful ballads, Queen Calanthe of Cintra's granddaughter, Princess Ciri,  endearingly known as Ciri. According to eye-witnesses this little person died during the siege of the town,  two years ago. Whereas in your ballad you so vividly and touchingly described her meeting a strange,  almost legendary individual, the ...",Blood of Elves,Ciri,Calanthe
"On these windmills and pendulums of yours, on this Killer path of  yours, dozens of boys have broken their bones and twisted their necks, boys who were hard, seasoned  vagabonds like you, found on roads and pulled out of gutters. Sinewy scamps and good-for-nothings,  pretty experienced despite their short lives. What chance has Ciri got? Even though she's been brought  up in the south with elven methods, even growing up under the hand of a battle-axe like Lioness  Calanthe, that little one was and still is a princess. Delicate skin, slight build, light bones ...",Blood of Elves,Ciri,Calanthe
"You were at  Sodden, Angren and Transriver. You know what happened to Cintra, know what befell Queen Calanthe  and many thousands of people there. You know the hell Ciri went through, know why she cries out at  night. And I know, too, because I was also there. I'm afraid of pain and death too, even more so now  than I was then - I have good reason.",Blood of Elves,Ciri,Calanthe
"The knight  cleared his throat and looked down. Geralt smiled faintly. Over the last two years Ciri had almost  forgotten her origins and had almost entirely lost her royal manners and airs, but her glare, when she  wanted, was very much like that of her grandmother. So much so that Queen Calanthe would no doubt  have been very proud of her granddaughter. 'Yeeessss, what was I ...' the knight stammered, tugging at his belt with embarrassment.",Blood of Elves,Ciri,Calanthe
"And vice-versa. But the novices, however, did sneak keen glances at the  boy and chatted freely, discussing the various possibilities presented by the presence on the Temple  grounds of something which wore trousers. Ciri was amazed because Jarre was the exact opposite of  everything which, in her eyes, should represent an attractive male. In Cintra, as she remembered, an  attractive man was one whose head reached the ceiling, whose shoulders were as broad as a doorway,  who swore like a dwarf, roared like a buffalo and stank at thirty paces of horses, sweat and beer,  regardless of what time of day or night it was. Men who did not correspond to this description were not  recognised by Queen Calanthe's chambermaids as worthy of sighs and gossip.",Blood of Elves,Ciri,Calanthe
"About Cintra. 'How did you get out of the town, Ciri? How did you slip past the Nilfgaardians?'  Ciri did not remember. Everything broke off, was lost in obscurity and smoke. She remembered the  siege, saying goodbye to Queen Calanthe, her grandmother; she remembered the barons and knights    forcibly dragging her away from the bed where the wounded, dying Lioness of Cintra lay.",Blood of Elves,Ciri,Calanthe
"But Uncle Crach an Craite, the Earl of  Skellige, still kneeling with bowed head, greeted the Lioness of Cintra with a title which was less official  but considered by the islanders to be more venerable. 'Hail, Modron.'  'Princess,' said Calanthe in a cold and authoritative voice, without so much as a glance at the earl, 'come  here. Come here to me, Ciri.'  Her grandmother's hand was as strong and hard as a man's, her rings cold as ice. 'Where is Eist?'  'The King ...' stammered Crach. 'Is at sea, Modron.",Blood of Elves,Ciri,Calanthe
"And you ... You have a huge debt to repay  me, Crach. One day I will demand repayment.'  'I know, Modron.'  'If I do not claim it, she will do so.' Calanthe looked at Ciri. 'You will repay the debt to her, Earl. You  know how.'  Crach an Craite got to his feet, straightened himself and the features of his weatherbeaten face hardened.",Blood of Elves,Ciri,Calanthe
"'Two proved enough. But still complicated, I must admit.'  'Such foul weather everywhere?'  'Everywhere.'  'So let us fortify ourselves with good fare and an old red wine from Cidaris. Lydia, would you be so  kind?'  Lydia van Bredevoort, Vilgefortz's assistant and personal secretary, appeared from behind the curtain  like an ethereal phantom and smiled with her eyes at Tissaia de Vries. Tissaia, controlling her face,  replied with a pleasant smile and bow of her head. Artaud Terranova stood up and bowed with  reverence.",Blood of Elves,Vilgefortz,Lydia
"Tissaia de Vries ate slowly, devoting more attention to arranging her plates,  cutlery and napkins symmetrically - although, in her opinion, they still lay irregularly and hurt her  predilection for order and her aesthetic sensibility - than to the fare. She drank sparingly. Vilgefortz ate  and drank even more sparingly. Lydia, of course, did not drink or eat at all. The candle flames undulated in long red and golden whiskers of fire.",Blood of Elves,Vilgefortz,Lydia
"The  Chapter wants to assume a unanimous stand in this matter. And, should it come to action, we also want  to act unanimously. So what do you advise?'  'It flatters me greatly' with a gesture, Vilgefortz thanked Lydia,  who was offering to put more broccoli on his plate - 'that my opinion in this matter should be decisive for  the Chapter.'  'No one said that.' Artaud poured himself some more wine. 'We're going to make a collective decision  anyway, when the Chapter meets. But we wish to let everybody have the opportunity to express  themselves beforehand so we can have an idea of all the various views.",Blood of Elves,Vilgefortz,Lydia
"It served for the detection of persons who  had disappeared while enabling a psychic vision by means of the 'crystal, metal, stone' method. The  wizard was either searching for someone or resolving a theoretical, logistical problem. Vilgefortz of  Roggeveen was well known for his love of solving such problems. They sat down in carved ebony armchairs. Lydia glanced at Vilgefortz, caught the sign transmitted by his  eye and immediately left.",Blood of Elves,Vilgefortz,Lydia
"Lydia glanced at Vilgefortz, caught the sign transmitted by his  eye and immediately left. Tissaia sighed imperceptibly. Everyone knew that Lydia van Bredevoort was in love with Vilgefortz of Roggeveen, that she had loved  him for years with a silent, relentless and stubborn love. The wizard, it is to be understood, also knew  about this but pretended not to. Lydia made it easier for him by never betraying her feelings to him she  never  took the slightest step or made the slightest gesture, transmitted no sign by thought and, even if she could  speak, would never have said a word.",Blood of Elves,Vilgefortz,Lydia
"Lydia made it easier for him by never betraying her feelings to him she  never  took the slightest step or made the slightest gesture, transmitted no sign by thought and, even if she could  speak, would never have said a word. She was too proud. Vilgefortz, too, did nothing because he did  not love Lydia. He could, of course, simply have have made her his lover, tied her to him even more  strongly and, who knows, maybe even made her happy. There were those who advised him to do so.",Blood of Elves,Vilgefortz,Lydia
"And what does she have to do  with Ithlin's prophecy? Or with the Elder Blood of the Elves? What are you brewing, Vilgefortz? I'm sorry, said Lydia van Bredevoort telepathically, coming in without a sound. The wizard stood up.",Blood of Elves,Vilgefortz,Lydia
"She could not do so any other way. The lower half of Lydia van Bredevoort's face was an illusion. Four years ago, on Vilgefortz's - her master's - recommendation, Lydia had taken part in experiments  concerning the properties of an artefact found amongst the excavations of an ancient necropolis. The  artefact turned out to be cursed. It activated only once.",Blood of Elves,Vilgefortz,Lydia
"A powerful illusion was therefore drawn so that people did not faint at the sight of Lydia's  face. It was a very  strong, very efficiently placed illusion, difficult for even the Chosen Ones to penetrate. 'Hmm ...' Vilgefortz put the letter aside. 'Thank you, Lydia.'  Lydia smiled. The messenger is waiting for a reply, she said.",Blood of Elves,Vilgefortz,Lydia
"'Calanthe's granddaughter. She was not the princess herself, but the daughter of the Princess of Cintra. She was the Child Surprise destined for the Geralt, the man to whom - even before she was born - the  queen had sworn to hand her granddaughter over to, just as Master Dandelion has sung. But the Geralt  could neither find her nor collect her. And here our poet has missed the truth.'  'Oh yes, he's missed the truth indeed,' butted in a sinewy young man who, judging by his clothes, was a  journeyman on his travels prior to crafting his masterpiece and passing his master's exams.",Blood of Elves,Geralt,Calanthe
"Before throwing herself from the  tower, Queen Calanthe killed the princess's daughter with her own hand, to prevent her from falling into  the Nilfgaardians' claws alive.'  'It wasn't like that. Not like that at all!' objected the red-haired man. 'The princess's daughter was killed  during the massacre while trying to escape from the town.'  'One way or another,' shouted Ironware, 'the Geralt didn't find Ciri! The poet lied!'  'But lied beautifully,' said the elf in the toque, snuggling up to the tall, fair-haired elf. 'It's not a question of poetry but of facts!' shouted the journeyman.",Blood of Elves,Geralt,Calanthe
"The Geralt-'  'Talk about the girl. For the moment I'm not interested in the Geralt.'  'I don't know anything about the girl! I only know that the Geralt was going to fetch her from Cintra  when the war broke out. I met him at the time. He heard about the massacre, about Calanthe's death,  from me ...",Blood of Elves,Geralt,Calanthe
"'But thank you for the  information. It was valuable.'  'Let it be,' he replied with a smile, 'my contribution to making changes for the better. Tell me, Yennefer,  why is Nilfgaard so interested in Geralt and the girl from Cintra?'  'Don't stick your nose into that business.' She suddenly turned serious. 'I said you were to forget you ever  heard of Calanthe's granddaughter.'  'Indeed, you did. But I'm not searching for a subject for a ballad.'  'What the hell are you searching for then?",Blood of Elves,Geralt,Calanthe
"You have a gravely sick woman on your  shoulders and this brat ...'  Ciri, who was trying to clean her dung-smeared boot on a ladder rung, raised her head. The knight  cleared his throat and looked down. Geralt smiled faintly. Over the last two years Ciri had almost  forgotten her origins and had almost entirely lost her royal manners and airs, but her glare, when she  wanted, was very much like that of her grandmother. So much so that Queen Calanthe would no doubt  have been very proud of her granddaughter.",Blood of Elves,Geralt,Calanthe
"So much so that Queen Calanthe would no doubt  have been very proud of her granddaughter. 'Yeeessss, what was I ...' the knight stammered, tugging at his belt with embarrassment. 'Geralt, sir, I  know what you need to do. Cross beyond the river, south. You will catch up with a caravan which is  following the trail.",Blood of Elves,Geralt,Calanthe
"In Cintra, as she remembered, an  attractive man was one whose head reached the ceiling, whose shoulders were as broad as a doorway,  who swore like a dwarf, roared like a buffalo and stank at thirty paces of horses, sweat and beer,  regardless of what time of day or night it was. Men who did not correspond to this description were not  recognised by Queen Calanthe's chambermaids as worthy of sighs and gossip. Ciri had also seen a  number of different men the wise and gentle druids of Angren, the tall and gloomy settlers of Sodden, the  Geralts of Kaer Morhen. Jarre was different. He was as skinny as a stick-insect, ungainly, wore clothes  which were too large and smelled of ink and dust, always had greasy hair and on his chin, instead of  stubble, there were seven or eight long hairs, about half of which sprang from a large wart.",Blood of Elves,Geralt,Calanthe
"Tissaia de Vries, The Poisoned Source   CHAPTER SEVEN    'I'm going to tell you something,' said Iola the Second suddenly, resting the basket of grain on her hip. 'There's going to be a war. That's what the duke's greeve who came to fetch the cheeses said.'  'A war?' Ciri shoved her hair back from her forehead. 'With who? Nilfgaard?'  'I didn't hear,' the novice admitted.",Blood of Elves,Ciri,Iola
"Who else? Again! Oh gods, that's terrible!'  'Aren't you exaggerating a bit with this war, Iola?' Ciri scattered some grains for the chickens and  guinea-hens crowding around them in a busy, noisy whirl. 'Maybe it's only another raid on the Scoia'tael?'  'Mother Nenneke asked the greeve the same thing,' declared Iola the Second. 'And the greeve said that  no, this time it wasn't about the Squirrels.",Blood of Elves,Ciri,Iola
"They don't have any time for work because they are, apparently,  studying Geralty. But in actual fact they're probably only idling or skipping around the park thrashing  weeds with a stick. You know who I'm talking about, Ciri, don't you?'  'Ciri will leave for the war no doubt,' giggled Iola the Second. 'After all, she is apparently the daughter of  a knight! And herself a great warrior with a terrible sword!",Blood of Elves,Ciri,Iola
